id,director_gender,tpl_prayer,tpl_praise,tpl_looking_forward,tpl_nb_fcps_with_intervention,tpl_nb_years_partnership,tpl_nb_participants
child_compassion.field_office_gu,F,Please join us in praying for God’s guidance and favor as this church-led movement grows and expands. Our desire is for all children living in vulnerable circumstances in Guatemala to be supported to grow and experience lasting transformation.,We celebrate God’s faithfulness this year as we have made meaningful progress that will help our church partners and national office to reach more children and better respond to their needs.,"We are excited to see our church partners taking ownership of the sustainability of their ministries. In the coming year, we look forward to strengthening their capacity and ability to mobilize resources, helping their impact to last for generations.",18,47,67980
child_compassion.field_office_ha,M,"Please pray for peace, stability and renewed hope in Haiti and for God’s continued protection and strength over our staff, church partners and the children and families we serve. May the Lord guide us with wisdom as we navigate ongoing challenges and remain faithful to our mission of releasing children from poverty in Jesus’ name.","We praise God for his faithfulness throughout a difficult year, as we have seen great resilience among our church partners and meaningful progress in the lives of the children and youths despite many challenges. God has also opened doors for deeper community engagement, strengthened partnerships and provided the resources needed to continue serving the most vulnerable.","In the coming year, we are committed to strengthening our partnerships with local churches across Haiti. By walking closely with our partners — listening, equipping and supporting them — we will deepen unity and collaboration, extend our reach and see greater transformation of children and youths living in poverty in Haiti.",12,55,137403
child_compassion.field_office_ho,F,"Pray for God's guidance and wisdom for the Compassion Honduras national office as we continue to serve staff, support church partners in their ministries to children and youths, and reach children and families living in poverty.","We are grateful for the Church in our country, which is willing to step out of its comfort zone to share the message of salvation with those in need. We also thank the Lord for the progress made with an initial group of church partners who are building new capacity to better understand and respond to the needs of children, youths and families in their communities.",We continue to identify new areas of need and partner with churches to reach the most vulnerable children and support their holistic development.,5,49,56050
child_compassion.field_office_id,M,"Pray that more youths will have access to higher education or vocational training and that together with parents and Compassion's church partners, we can support them with the resources they need.","We are establishing new partnerships with local churches in Papua and Toraja, expanding our ministry into tribal areas and reaching some of the most vulnerable communities in east Indonesia.",We look forward to seeing more children sponsored and more young people finishing the program strong.,67,55,155043
child_compassion.field_office_io,M,"Pray that more youths will have access to higher education or vocational training and that together with parents and Compassion's church partners, we can support them with the resources they need.","We are establishing new partnerships with local churches in Papua and Toraja, expanding our ministry into tribal areas and reaching some of the most vulnerable communities in east Indonesia.",We look forward to seeing more children sponsored and more young people finishing the program strong.,67,55,155043
child_compassion.field_office_ke,M,"Pray for wisdom as we build strategic partnerships with other like-minded ministries and organizations to best support children in need. Pray for young people facing limited job opportunities and the challenges that come with this, including mental health struggles. Pray also for the country’s economic situation to improve and for peaceful elections in 2027.","I am delighted to share that Compassion International Kenya was named NGO of the Year at Kenya's 2025 NGO Awards. This is a testament to God’s hand on the work we do and an encouragement to continue faithfully serving babies, children, young people and their families.","In the past two years, we have partnered with academic and technical institutions to provide short-term, market-relevant skills training for youths. So far, more than 1,500 young people have graduated with certified skills, enabling them to earn an income while continuing their studies.",26,43,136634
child_compassion.field_office_lk,M,May our partnerships lead to lasting transformation in the lives of children and communities.,We’re grateful for the unwavering commitment of our Compassion Sri Lanka national office team and local partners.,We look forward to seeing even greater impact as the program grows stronger and children's and young people's lives are transformed.,,13,32993
child_compassion.field_office_me,M,Pray that violence in our country will decrease so that children can safely attend their Compassion centers and the church can provide the care they need. Pray also for Compassion staff to travel safely as they support and train churches to strengthen programs for children.,"Praise God that this year we've been able to introduce a new approach that helps us to listen more closely to children, ensuring their voices are heard as plans are made to support their growth and well-being.","In the coming year, we look forward to having more financial resources for the sponsorship program and expand into new ways of supporting children and families.",6,48,50224
child_compassion.field_office_ni,M,"Please pray for God's protection over the Church and that it will continue to faithfully carry out its mission. Pray also for the emotional and spiritual well-being of our staff as they navigate a challenging environment. Ask God to guard and guide us, giving wisdom and discernment in every decision, so Compassion Nicaragua can continue to operate under his grace and favor.","We glorify God for the work of our partner churches as they faithfully minister and care for each child, bringing meaningful impact to their lives. We also praise God for his faithfulness in sustaining Compassion's work in Nicaragua through the teamwork of our staff while maintaining a strong, trusted presence in the country.","We are encouraged to see so many churches trusting God, embracing his work, and reaching more children and youths in poverty as new churches grow within their communities. It is rewarding to witness the lasting impact, as young people and families use what they have learned to earn an income and serve others in their churches and communities.",,21,58424
child_compassion.field_office_pe,M,"Pray for the Lord’s care and wisdom over the children, church partners and staff this year as Peru moves forward following the recent elections. Pray for peace across the country and for leaders who will protect and care for children and youths.","We thank God for the opportunity to work in Indigenous communities, supporting our church partners as they meet the needs of children and youths. We pray that the Lord will help us to be a strong support to these communities.",We are encouraged to see how our new program framework is helping Compassion and the church partners to better understand children's needs. We want to support our church partners as they respond to those needs and bring meaningful impact to children's lives.,10,38,88452
child_compassion.field_office_ph,F,"Pray for our church partners and the teams supporting them as they manage the new initiatives and responsibilities. Pray also for the well-being of our staff and church volunteers, especially as they respond during times of disaster.",We are thankful for the graduates of our program who are investing in and discipling the next generation of proactive young leaders. We look forward to continuing to develop initiatives that grow and sustain these efforts.,"We are preparing for expansion into the tribal regions by partnering with churches in Mindanao in the southern Philippines from 2027 onward. Pray that God will grant wisdom, cultural sensitivity and discernment as we partner with Indigenous communities.",41,51,100669
child_compassion.field_office_rw,M,"Pray for our church partners in Rwanda as they work through a national government compliance process required across the country. May the Lord grant them wisdom, guidance and the financial provision needed to meet all regulatory requirements with excellence.",We are grateful that the planning and monitoring workshops for our new program framework — which uses technology to survey children and discover their greatest needs before responding with proven initiatives — were successful and that our team is now well equipped to support church partners as they better understand and support children's needs.,We look forward to guiding church partners through our new planning process to identify and respond to children's needs as they develop clear three-year plans to better support children and families.,,43,119954
child_compassion.field_office_tg,M,"Pray for five children who are suffering from cancer and undergoing chemotherapy; ask God for healing and strength. Pray also for security and stability in the northern region, where families face ongoing threats of violence.","We praise God for his faithfulness in strengthening our partnerships and expanding transformational initiatives for children and youths. This year, we have seen tangible progress: 1,346 youths earned their “baccalauréat” (final high school diploma), with pass rates significantly higher than the national average.","We look forward to strengthening how we empower young people, especially by growing programs that prepare them for higher education, STEM careers, entrepreneurship and leadership. We are excited to see more graduates become change makers — sparks of hope in their communities.",52,15,89542
child_compassion.field_office_th,M,Please pray for safety and security of the children and youths and for stability along the Thailand-Myanmar border.,"We thank God for his grace and mercy, which allows us to continue reaching more youths and children in need through our partner churches. We also thank our valued supporters for their heart and generosity in joining the ministry.",We look forward to reaching more children and youths in need and welcoming them into our program to support their growth and development.,,53,50174
child_compassion.field_office_tz,F,Please join us in praying for lasting peace in our nation as we continue to navigate post-election tensions. Pray for the Church in Tanzania to be strengthened and united as they advance God's kingdom.,"We are grateful that Compassion International Tanzania has successfully transitioned from a nongovernmental organization to a faith-based organization and to have obtained charitable status. These milestones will help Compassion International Tanzania continue our mission and live out our faith, while the new charitable status will provide tax savings that allow us to better serve children living in poverty.","In the coming year, we aim to equip and empower local church partners by implementing targeted initiatives that address their most pressing needs. This will also help provide clearer insight to guide decisions and the care they provide to children.",70,24,123845
child_compassion.field_office_ug,M,"Pray for consistent peace in northeastern Uganda, especially in the Karamoja region, so children and youths can safely participate in programs without disruption. Ongoing conflict in the area — including cattle raiding and intercommunity violence — continues to affect families, displace communities and disrupt daily life.","We thank God for peaceful national elections. While we are not involved in politics, stability and peace are essential for serving children and supporting effective programs.","We look forward to strengthening our efforts to reach children in remote and hard to reach areas where the need is greatest. In these communities, many children face serious health challenges that affect their ability to survive and thrive. As we step into these areas, we are excited to help change the story of these communities through improved health support and care for children.",178,43,158618
